1431780594.504000, /muse/acc, -175.78152, 980.4703, 191.40656
1431780594.539000, /muse/acc, -179.68777, 980.4703, 187.50029
1431780594.539000, /muse/drlref, 1651612.9, 1654838.8
1431780594.557000, /muse/acc, -179.68777, 980.4703, 187.50029
1431780594.557000, /muse/eeg, 835.65, 822.4902, 834.005, 832.36005
1431780594.557000, /muse/eeg/quantization, 1, 1, 1, 1
1431780594.557000, /muse/eeg, 840.58496, 822.4902, 834.005, 857.0347
1431780594.557000, /muse/eeg, 850.45483, 825.78015, 832.36005, 852.0998
1431780594.557000, /muse/eeg, 855.3898, 824.13513, 832.36005, 848.8099
1431780594.559000, /muse/eeg, 863.6147, 824.13513, 827.4251, 853.7448
1431780594.559000, /muse/eeg, 876.77454, 832.36005, 830.7151, 880.06445
1431780594.559000, /muse/eeg, 891.57935, 830.7151, 822.4902, 863.6147
1431780594.559000, /muse/eeg, 903.09424, 830.7151, 820.8452, 857.0347
1431780594.559000, /muse/eeg, 898.15924, 829.07007, 829.07007, 865.25964
1431780594.559000, /muse/eeg, 883.35443, 829.07007, 817.55524, 876.77454
1431780594.559000, /muse/eeg, 871.8396, 824.13513, 825.78015, 863.6147
1431780594.559000, /muse/eeg, 880.06445, 829.07007, 822.4902, 858.67975
1431780594.559000, /muse/eeg, 880.06445, 830.7151, 820.8452, 850.45483
1431780594.560000, /muse/eeg, 883.35443, 830.7151, 819.2002, 852.0998
1431780594.560000, /muse/elements/alpha_relative, 0.07820791, 0.09591367, 0.13098991, 0.040667813
1431780594.560000, /muse/elements/beta_relative, 0.020225322, 0.072988704, 0.06437303, 0.03682845
1431780594.560000, /muse/elements/delta_relative, 0.8254518, 0.6452838, 0.6001089, 0.8168355
1431780594.560000, /muse/elements/gamma_relative, 0.014655723, 0.05928559, 0.054675486, 0.03996123
1431780594.560000, /muse/elements/theta_relative, 0.061459243, 0.12652819, 0.14985265, 0.065707
1431780594.560000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431780594.560000, /muse/elements/is_good, 1, 1, 1, 1
1431780594.560000, /muse/elements/blink, 0
1431780594.560000, /muse/elements/jaw_clench, 0
1431780594.560000, /muse/elements/touching_forehead, 1
1431780594.560000, /muse/elements/experimental/concentration, 0.0
1431780594.560000, /muse/elements/experimental/mellow, 0.9097676
