1431801784.864000, /muse/acc, -50.78133, 1007.8141, 19.53128
1431801784.889000, /muse/acc, -58.59384, 1015.6266, 23.437536
1431801784.889000, /muse/eeg, 855.3898, 814.26526, 848.8099, 861.9697
1431801784.889000, /muse/eeg/quantization, 1, 1, 1, 1
1431801784.889000, /muse/eeg, 852.0998, 814.26526, 855.3898, 848.8099
1431801784.889000, /muse/elements/alpha_relative, 0.32568073, 0.29847717, 0.057486866, 0.25333312
1431801784.889000, /muse/elements/beta_relative, 0.16756263, 0.17613162, 0.042019714, 0.2533598
1431801784.889000, /muse/elements/delta_relative, 0.21922216, 0.24781649, 0.7704373, 0.2747927
1431801784.889000, /muse/elements/gamma_relative, 0.12909019, 0.14868277, 0.042434756, 0.1130911
1431801784.889000, /muse/elements/theta_relative, 0.15844427, 0.12889193, 0.08762133, 0.105423264
1431801784.890000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431801784.890000, /muse/elements/is_good, 1, 1, 1, 1
1431801784.890000, /muse/elements/blink, 0
1431801784.890000, /muse/elements/jaw_clench, 0
1431801784.890000, /muse/elements/touching_forehead, 1
1431801784.890000, /muse/elements/experimental/concentration, 1.0
1431801784.890000, /muse/elements/experimental/mellow, 0.51735884
1431801784.890000, /muse/elements/raw_fft0, 0.6629303, 5.291401, 8.59065, 4.9128876, -0.109891325, 0.96476597, 0.37489632, 1.0616221, 3.550866, 0.7162802, -3.337042, -2.3160832, -0.2621307, -3.9859378, -2.0467436, -5.918722, -2.4280672, 0.25643775, -3.225559, -7.164943, -7.184109, -7.63965, -3.3103485, -2.200748, -1.2274725, -0.98315394, -1.2442201, -2.2399073, -5.8420863, -8.741124, -10.9747925, -6.672245, -6.319779, -4.6094356, -3.4910913, -6.323846, -5.508703, -4.4556975, -6.542557, -2.707342, -8.075967, -10.258318, -4.6751056, -4.063915, -5.26635, -7.4434752, -1.8539121, -4.120267, -3.7492423, -12.087212, -9.527583, -6.107082, -9.309855, -11.699971, -12.727804, -9.78883, -12.041224, -17.337774, -28.25644, -21.384865, -15.362728, -15.014984, -10.284133, -4.769916, -8.810823, -11.383803, -13.390126, -12.878475, -11.308429, -15.884688, -12.249323, -14.452582, -18.168842, -9.488714, -9.629054, -13.01679, -15.443009, -11.147152, -9.774267, -15.787079, -12.484882, -14.7225065, -17.272947, -8.625287, -8.607871, -10.242229, -7.910767, -9.993413, -11.444751, -12.560285, -14.637367, -15.664326, -12.177341, -12.671374, -11.858875, -8.195248, -9.962145, -6.3523984, -8.229616, -12.587437, -18.040041, -15.423679, -15.16368, -12.73006, -13.787362, -15.951465, -10.985098, -7.50271, -8.945286, -15.091059, -13.03765, -14.733828, -14.339953, -18.100353, -14.599965, -11.961896, -8.713811, -12.256649, -15.664604, -19.729633, -16.157028, -17.940714, -19.622663, -20.333347, -20.248205, -23.8601, -19.970201, -20.590403, -26.861887
1431801784.890000, /muse/elements/raw_fft1, -7.1796947, -3.700195, -3.3118021, -4.0604997, -5.237264, -8.53395, -12.70777, -9.755692, -10.803043, -7.195909, -8.628695, -10.975386, -12.641022, -16.277546, -19.412659, -17.817333, -9.735514, -11.971051, -14.407833, -11.56753, -13.722339, -15.293403, -17.197586, -14.951501, -13.2878895, -14.281958, -15.798773, -15.094865, -14.240242, -11.636576, -19.032322, -20.62726, -17.167784, -18.460524, -15.872553, -10.18997, -11.857818, -14.418138, -18.085518, -15.88457, -16.616476, -21.3607, -24.498375, -19.52677, -19.599546, -15.123203, -14.13863, -17.262794, -15.270856, -17.848946, -15.646607, -15.986233, -21.758219, -20.087545, -22.13829, -22.903233, -24.196026, -26.2539, -28.036163, -29.279968, -23.498714, -23.440338, -22.943682, -21.650251, -25.020454, -21.599651, -21.345863, -20.062284, -15.992443, -18.818012, -18.830877, -18.432875, -16.001472, -21.355217, -25.015118, -25.978024, -18.03278, -12.846306, -15.101896, -13.269422, -13.474321, -16.268421, -17.716846, -21.190266, -14.651809, -13.624132, -21.792177, -18.360458, -15.565111, -22.22186, -17.808628, -18.714846, -24.419044, -19.27756, -17.02988, -20.833315, -22.94031, -21.256763, -21.717678, -17.166798, -16.925726, -19.729383, -19.915833, -19.814697, -24.076307, -20.931437, -17.570915, -21.305866, -23.982882, -26.341116, -24.955238, -19.25405, -22.10879, -19.131222, -18.212845, -20.607943, -22.02218, -22.237953, -27.475058, -28.508945, -25.694124, -27.036081, -29.059687, -25.452726, -28.63879, -28.136997, -22.782831, -25.377745, -35.128616
