1431801747.973000, /muse/acc, -74.218864, 1003.90784, 89.84389
1431801747.973000, /muse/drlref, 1645161.2, 1651612.9
1431801747.999000, /muse/acc, -70.31261, 1003.90784, 89.84389
1431801747.999000, /muse/eeg, 863.6147, 822.4902, 855.3898, 842.2299
1431801747.999000, /muse/eeg/quantization, 1, 1, 1, 1
1431801748.000000, /muse/eeg, 858.67975, 822.4902, 861.9697, 835.65
1431801748.000000, /muse/eeg, 853.7448, 824.13513, 860.3247, 852.0998
1431801748.000000, /muse/eeg, 848.8099, 820.8452, 866.90466, 850.45483
1431801748.000000, /muse/eeg, 853.7448, 820.8452, 848.8099, 853.7448
1431801748.000000, /muse/eeg, 855.3898, 820.8452, 861.9697, 852.0998
1431801748.000000, /muse/eeg, 860.3247, 822.4902, 861.9697, 848.8099
1431801748.000000, /muse/eeg, 866.90466, 822.4902, 847.16486, 843.87494
1431801748.000000, /muse/eeg, 861.9697, 822.4902, 848.8099, 848.8099
1431801748.000000, /muse/eeg, 855.3898, 822.4902, 860.3247, 853.7448
1431801748.000000, /muse/eeg, 852.0998, 820.8452, 866.90466, 852.0998
1431801748.000000, /muse/elements/alpha_relative, 0.15632792, 0.28141403, 0.06196688, 0.42314306
1431801748.000000, /muse/elements/beta_relative, 0.2537879, 0.27467465, 0.087893665, 0.22282694
1431801748.000000, /muse/elements/delta_relative, 0.35068822, 0.102768406, 0.6145485, 0.16131125
1431801748.000000, /muse/elements/gamma_relative, 0.15234976, 0.097081855, 0.18325317, 0.086052015
1431801748.000000, /muse/elements/theta_relative, 0.086846225, 0.24406107, 0.052337788, 0.106666714
1431801748.000000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431801748.000000, /muse/elements/is_good, 1, 1, 1, 1
1431801748.000000, /muse/elements/blink, 0
1431801748.000000, /muse/elements/jaw_clench, 0
1431801748.000000, /muse/elements/touching_forehead, 1
1431801748.000000, /muse/elements/experimental/concentration, 0.0
1431801748.000000, /muse/elements/experimental/mellow, 0.0
1431801748.000000, /muse/elements/raw_fft0, -6.037202, 1.4143072, 3.8836079, -2.0579221, -4.3795667, -8.981305, -14.92136, -8.308918, -8.205049, -5.5897303, -10.082897, -9.692561, -9.388479, -6.0010967, -5.576211, -8.000064, -10.499041, -6.8473406, -8.530737, -5.917839, -4.3870044, -6.198006, -7.393503, -7.8800073, -8.466608, -13.906985, -18.24953, -13.050999, -11.413067, -12.446553, -13.035218, -10.880904, -8.156888, -11.558427, -11.51593, -17.319487, -11.834008, -8.521092, -6.184886, -10.560495, -11.608341, -11.622296, -8.270125, -8.676319, -10.9040785, -16.115158, -13.4484625, -8.124602, -7.1931396, -9.520421, -11.617217, -13.2479725, -15.346884, -18.044483, -15.383117, -16.823889, -23.662897, -37.074608, -30.153053, -23.511393, -23.161345, -21.30776, -16.893429, -11.115259, -13.449848, -18.170956, -18.330778, -14.2129135, -11.823505, -11.174119, -15.163209, -16.419718, -14.702296, -16.490707, -19.25296, -21.308668, -17.054173, -16.884075, -16.097061, -14.176606, -9.201244, -12.724894, -10.999939, -11.1870365, -15.922898, -11.74658, -17.01734, -15.6116495, -14.654954, -14.835201, -11.309598, -12.198648, -14.211721, -15.579057, -14.195477, -9.548246, -12.802038, -16.454666, -10.269757, -12.000219, -13.866727, -14.026004, -13.119278, -13.472747, -13.286856, -13.91486, -16.69266, -18.43605, -18.674778, -15.20287, -15.699427, -19.033794, -18.340738, -15.518295, -14.675741, -12.233332, -7.1314583, -9.835182, -15.493485, -18.366758, -20.139732, -26.022085, -21.652027, -21.136278, -21.454823, -23.51401, -27.159403, -22.026804, -22.274923
