1431780369.322000, /muse/acc, -203.12532, 960.939, 210.93784
1431780369.388000, /muse/acc, -199.21906, 960.939, 207.03157
1431780369.388000, /muse/eeg, 858.67975, 817.55524, 822.4902, 870.1946
1431780369.388000, /muse/eeg/quantization, 1, 1, 1, 1
1431780369.388000, /muse/eeg, 850.45483, 819.2002, 830.7151, 878.4195
1431780369.388000, /muse/eeg, 857.0347, 819.2002, 858.67975, 865.25964
1431780369.388000, /muse/eeg, 866.90466, 822.4902, 830.7151, 835.65
1431780369.388000, /muse/eeg, 845.5199, 819.2002, 838.94, 837.295
1431780369.388000, /muse/elements/alpha_relative, 0.27244517, 0.3267974, 0.14733285, 0.24999289
1431780369.388000, /muse/elements/beta_relative, 0.35216987, 0.1888602, 0.38369882, 0.39726314
1431780369.388000, /muse/elements/delta_relative, 0.05654588, 0.14705974, 0.10078387, 0.04205089
1431780369.388000, /muse/elements/gamma_relative, 0.20036101, 0.06058195, 0.32902735, 0.16704442
1431780369.388000, /muse/elements/theta_relative, 0.11847806, 0.27670074, 0.039157096, 0.14364867
1431780369.389000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431780369.389000, /muse/elements/is_good, 1, 1, 1, 1
1431780369.389000, /muse/elements/blink, 0
1431780369.389000, /muse/elements/jaw_clench, 0
1431780369.389000, /muse/elements/touching_forehead, 1
1431780369.389000, /muse/elements/experimental/concentration, 0.29946208
1431780369.389000, /muse/elements/experimental/mellow, 0.0
