1431780524.953000, /muse/drlref, 1645161.2, 1654838.8
1431780524.954000, /muse/acc, -226.56285, 972.6578, 210.93784
1431780524.967000, /muse/acc, -234.37537, 964.8453, 210.93784
1431780524.985000, /muse/acc, -242.18788, 968.7515, 207.03157
1431780525.055000, /muse/eeg, 870.1946, 825.78015, 870.1946, 866.90466
1431780525.055000, /muse/eeg/quantization, 1, 1, 1, 1
1431780525.055000, /muse/eeg, 858.67975, 824.13513, 870.1946, 850.45483
1431780525.055000, /muse/eeg, 861.9697, 822.4902, 868.5496, 868.5496
1431780525.055000, /muse/eeg, 860.3247, 824.13513, 875.1295, 884.99945
1431780525.055000, /muse/eeg, 881.7095, 827.4251, 876.77454, 889.9344
1431780525.055000, /muse/eeg, 878.4195, 827.4251, 875.1295, 868.5496
1431780525.055000, /muse/eeg, 875.1295, 829.07007, 865.25964, 847.16486
1431780525.055000, /muse/eeg, 870.1946, 827.4251, 866.90466, 858.67975
1431780525.055000, /muse/eeg, 843.87494, 822.4902, 868.5496, 837.295
1431780525.055000, /muse/eeg, 878.4195, 827.4251, 865.25964, 860.3247
1431780525.055000, /muse/eeg, 870.1946, 827.4251, 870.1946, 863.6147
1431780525.055000, /muse/eeg, 881.7095, 822.4902, 868.5496, 868.5496
1431780525.055000, /muse/eeg, 875.1295, 817.55524, 865.25964, 871.8396
1431780525.056000, /muse/eeg, 866.90466, 820.8452, 865.25964, 891.57935
1431780525.056000, /muse/eeg, 863.6147, 822.4902, 863.6147, 875.1295
1431780525.056000, /muse/eeg, 866.90466, 825.78015, 865.25964, 866.90466
1431780525.056000, /muse/acc, -250.0004, 964.8453, 207.03157
1431780525.086000, /muse/acc, -246.09413, 957.0328, 210.93784
1431780525.087000, /muse/acc, -250.0004, 953.12646, 210.93784
1431780525.087000, /muse/drlref, 1645161.2, 1654838.8
1431780525.088000, /muse/eeg, 848.8099, 820.8452, 870.1946, 837.295
1431780525.088000, /muse/eeg/quantization, 1, 1, 1, 1
1431780525.089000, /muse/eeg, 865.25964, 820.8452, 866.90466, 860.3247
1431780525.089000, /muse/eeg, 857.0347, 819.2002, 866.90466, 838.94
1431780525.089000, /muse/eeg, 848.8099, 814.26526, 860.3247, 834.005
1431780525.089000, /muse/eeg, 871.8396, 819.2002, 861.9697, 853.7448
1431780525.089000, /muse/elements/alpha_relative, 0.117444016, 0.14030063, 0.09425432, 0.2538634
1431780525.089000, /muse/elements/beta_relative, 0.17769271, 0.061413415, 0.08182995, 0.24590164
1431780525.089000, /muse/elements/delta_relative, 0.32713938, 0.5271848, 0.55594057, 0.15675862
1431780525.089000, /muse/elements/gamma_relative, 0.13214475, 0.035157897, 0.028655332, 0.22754024
1431780525.089000, /muse/elements/theta_relative, 0.24557917, 0.23594329, 0.23931983, 0.11593609
1431780525.089000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431780525.089000, /muse/elements/is_good, 1, 1, 1, 1
1431780525.089000, /muse/elements/blink, 0
1431780525.089000, /muse/elements/jaw_clench, 0
1431780525.089000, /muse/elements/touching_forehead, 1
1431780525.089000, /muse/elements/experimental/concentration, 0.0
1431780525.089000, /muse/elements/experimental/mellow, 0.080040105
1431780525.090000, /muse/elements/raw_fft0, 11.195921, 15.692697, 15.670772, 13.138564, 12.645579, 12.5259, 10.717161, 10.532417, 5.675851, 8.711952, 5.2470236, 2.4296942, 0.041043393, -0.43046927, -0.93591213, -4.1268735, -1.5671049, -2.382692, -4.8894696, -7.1734924, -5.6476912, -3.5103052, -7.628852, -6.126784, -5.028312, -3.2290804, -2.8510034, 0.667755, -3.4739616, -10.141258, -6.6532154, -0.7594179, -1.2332839, -0.3992358, -3.3555613, -4.9654465, -3.896399, -10.35038, -8.480116, -4.336114, -7.4369736, -5.523557, -3.9158146, -2.8424194, -0.024691394, -3.4892385, -5.191678, -6.9434934, -5.330488, -7.0243564, -3.0694668, -7.6423116, -2.3051362, 2.8755023, 1.270312, -5.5975914, -4.6029363, -3.1074927, -3.6477566, -6.182774, -7.555704, -6.800105, -6.677288, -5.3390675, -7.475244, -7.1496105, -7.869482, -6.3784056, -9.719974, -17.575317, -27.080515, -30.764858, -20.841366, -10.498803, -8.793316, -9.343095, -11.10228, -5.9349523, -5.134944, -7.9420595, -7.1952806, -4.016053, -3.0139718, -1.8287755, -2.3923957, -5.4918447, -7.540764, -6.1330943, -5.9687276, -6.6361527, -3.7259715, -6.021959, -3.371408, -6.477446, -3.3864105, -3.844542, -9.838414, -9.67792, -5.9655085, -0.3694098, -2.980774, -3.7277331, -0.98093206, -1.008789, -6.0250936, -7.6591687, -5.553658, -7.706283, -4.306235, -3.9151895, -4.82438, -11.889308, -8.397031, -9.471413, -15.20819, -11.478346, -10.384047, -8.1205015, -4.626002, -6.029042, -10.183857, -10.55368, -8.346479, -8.409698, -11.925533, -14.06882, -10.748336, -10.578161, -10.688478
