1431785087.147000, /muse/acc, -31.25005, 1003.90784, 132.81271
1431785087.217000, /muse/eeg, 843.87494, 830.7151, 838.94, 825.78015
1431785087.217000, /muse/elements/alpha_relative, 0.08251667, 0.19812703, 0.24453138, 0.055865977
1431785087.218000, /muse/elements/beta_relative, 0.41369194, 0.1133147, 0.1844483, 0.41566423
1431785087.218000, /muse/elements/delta_relative, 0.10228938, 0.45495823, 0.21720742, 0.1479874
1431785087.218000, /muse/elements/gamma_relative, 0.27500758, 0.034389984, 0.1185152, 0.231259
1431785087.218000, /muse/elements/theta_relative, 0.12649445, 0.19921006, 0.2352977, 0.1492234
1431785087.218000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785087.218000, /muse/elements/is_good, 1, 1, 1, 1
1431785087.218000, /muse/elements/blink, 0
1431785087.218000, /muse/elements/jaw_clench, 0
1431785087.218000, /muse/elements/touching_forehead, 1
1431785087.218000, /muse/elements/experimental/concentration, 0.9565091
1431785087.218000, /muse/elements/experimental/mellow, 0.06764608
1431785087.218000, /muse/elements/raw_fft0, -3.6901152, 1.8668175, 2.1556816, -2.3029985, -1.9316612, -1.077131, 2.1249726, 2.373464, -3.2813253, -10.407361, -6.6245995, -6.9174995, -8.453533, -11.002854, -10.070343, -8.371306, -2.8570569, -4.459959, -3.0073915, -4.6876407, -3.5125086, -8.983496, -6.366404, -3.581443, -6.326867, -5.172867, -4.1747575, -1.7143048, 2.9503894, 1.3146007, 4.3012986, 1.4152756, -4.8891683, -4.353522, -5.225683, -3.3460505, -8.6845, -2.3873067, -3.2331877, -3.9298563, -1.2577844, -1.7082623, -1.6746197, -3.7788963, -5.2253113, -10.063645, -7.511764, -3.248679, -7.7854223, -4.576896, -4.6277714, -2.2245595, -3.9263148, -9.941033, -13.496494, -13.507395, -14.492832, -15.974813, -19.879377, -13.877704, -8.568192, -2.8112042, -6.738171, -9.271564, -8.833062, -8.594193, -10.201261, -6.962396, -2.0921319, -5.702034, -5.2539454, -7.691427, -7.872398, -4.841374, -1.730652, -2.8467512, -6.0906954, -8.439589, -5.682778, -2.9531603, -6.649828, -10.4862175, -8.858399, -8.905082, -8.181406, -2.7050197, 0.1521898, -1.354534, -5.5669885, -5.3642507, -1.5527728, -4.1280055, -0.8039499, -2.932653, -4.4891133, -7.174346, -4.25051, -3.6949193, -7.990922, -3.915418, -0.6721911, -0.663998, -3.7069342, -8.993847, -13.834217, -7.462432, -4.554765, -10.689579, -10.1614065, -7.399042, -10.699562, -9.937448, -7.805738, -10.439242, -8.771848, -9.224462, -5.41965, -5.1211567, -8.324666, -8.0111885, -5.85014, -8.16574, -13.360483, -5.0269713, -5.0598907, -10.962412, -12.51765, -14.146727, -12.056085
1431785087.219000, /muse/elements/raw_fft1, -3.649249, 2.326636, 1.0782266, -4.533423, -0.68759805, -4.6065965, -6.7999854, -10.793155, -4.379355, -5.3210397, -6.09463, -11.012705, -12.021722, -19.469913, -11.00312, -10.570455, -9.276857, -8.853378, -12.801667, -14.180768, -14.413204, -15.761992, -16.835043, -17.228302, -15.728705, -20.529772, -19.133495, -21.58739, -27.489622, -18.846476, -15.69355, -13.785259, -11.741939, -17.719385, -19.799969, -24.335236, -22.267458, -18.506744, -19.934916, -15.192276, -16.114351, -20.844965, -22.041214, -17.031807, -19.317892, -20.637957, -20.56247, -16.912233, -20.422785, -19.100561, -18.567543, -22.319397, -27.496574, -23.052265, -25.874388, -24.914455, -25.680897, -28.430294, -33.265915, -33.509354, -25.263168, -24.984646, -27.7793, -22.911797, -20.17574, -20.387926, -22.236847, -24.835026, -30.096685, -23.365843, -21.413948, -18.95588, -17.8686, -17.734165, -19.637667, -20.923698, -17.690329, -21.929853, -28.000906, -28.573408, -23.972425, -23.96074, -21.564486, -24.49056, -21.857176, -21.028877, -21.3116, -22.894554, -18.16939, -18.575485, -20.897041, -19.55009, -15.197919, -17.221272, -21.62724, -26.608631, -24.904734, -24.345734, -20.504684, -20.145145, -22.216364, -22.599436, -24.088724, -23.15558, -27.077616, -23.088346, -18.823254, -20.361359, -24.423637, -23.737614, -27.77013, -27.990463, -26.243338, -22.743189, -25.998095, -34.17327, -20.776842, -20.523335, -24.894497, -25.955381, -28.014273, -28.715446, -27.128191, -33.458668, -31.204077, -30.137793, -31.145685, -29.386766, -33.48156
1431785087.219000, /muse/elements/raw_fft2, -1.3237238, 1.6640426, -4.752789, -2.9103453, -2.9709063, -3.6762698, -3.192811, -5.355904, -5.6875396, -5.4425874, -3.1598883, -7.528915, -7.205234, -17.095734, -12.506377, -13.008449, -15.794064, -11.063922, -8.721378, -9.628214, -13.853025, -12.858652, -11.068893, -11.819827, -11.229217, -15.076628, -16.21088, -14.363206, -16.000717, -12.561455, -9.20339, -8.706569, -5.084137, -9.356233, -12.697032, -12.266967, -14.809434, -14.70685, -15.512258, -14.714867, -12.890021, -13.999787, -7.1838794, -9.525942, -17.223566, -13.3338175, -14.617949, -13.364952, -17.130342, -21.297432, -19.693367, -19.103428, -16.151737, -20.739765, -21.479296, -21.431614, -23.045238, -25.81593, -32.43515, -27.130062, -23.906687, -21.17953, -19.28038, -18.199219, -15.711528, -13.78308, -15.240481, -13.212391, -11.588186, -11.109665, -12.001645, -12.284081, -17.689768, -13.477098, -7.9494233, -15.628738, -14.917317, -14.609264, -20.328503, -14.649785, -12.248304, -12.682498, -13.491262, -14.679028, -11.088845, -11.600519, -16.03092, -17.913734, -19.661545, -18.649668, -11.757775, -13.076477, -13.981055, -19.039757, -20.94865, -18.760353, -23.238815, -17.489561, -18.02937, -19.774971, -13.717733, -14.3011465, -18.978422, -17.07718, -19.85341, -17.929274, -13.803679, -16.33186, -17.355593, -17.460947, -18.872791, -13.52023, -16.953558, -16.064548, -18.675426, -14.661752, -4.5607533, -7.503249, -19.417145, -19.288223, -23.855345, -23.287428, -22.172232, -23.680021, -20.125868, -19.643646, -19.51606, -23.340658, -24.161509
1431785087.219000, /muse/elements/raw_fft3, -3.5116172, 1.336576, 1.1730986, 3.4695647, 1.6772245, 1.1663293, 0.6025466, -0.1728354, -3.0247185, -13.302406, -13.788596, -8.45849, -7.973794, -13.362897, -11.728483, -9.969634, -4.031667, -0.039607126, -1.8773345, -2.9767315, -0.82062453, -4.718207, -7.8049474, -11.078366, -9.465967, -16.059486, -9.159897, -5.147131, 0.79928285, 2.1245537, 4.1671653, -0.9377073, -4.3809185, 1.1575083, 1.0562413, -0.07793042, -2.1240847, -4.0864334, -7.961618, -1.6510718, -0.4796141, -9.510954, -11.364675, -12.830917, -12.727823, -8.320762, -1.8533856, -6.167218, -4.1986375, -10.844293, -10.797466, -6.6917486, -3.1573331, -3.4282882, -9.113818, -11.674477, -13.931688, -16.422863, -19.661922, -21.227201, -10.086731, -3.2397592, -8.106534, -6.3452487, -5.4893456, -4.9313107, -4.974509, -5.343463, -9.037335, -5.438326, -2.2841754, -4.0803576, -8.535253, -6.3203106, -7.418392, -12.856457, -1.0810386, 0.448095, -6.2301326, -7.4611273, -8.587426, -6.7036715, -4.1468062, -8.403956, -9.885732, -6.967176, -7.8363566, -6.3628545, -7.1130958, -3.3700612, -5.8509736, -3.5147054, -0.0055518965, -2.00158, -1.6656762, -3.5626812, -4.9879384, -7.866757, -4.8923883, -5.6304064, -4.2325644, -8.81549, -10.420191, -6.127758, -9.660402, -12.846336, -7.6528444, -8.414104, -8.617972, -4.881144, -9.263551, -6.4654493, -5.2647877, -5.024779, -7.785709, -8.196976, -4.477208, -5.4114738, -9.383242, -6.674123, -7.6829624, -10.216825, -15.442018, -13.77967, -10.196422, -11.543557, -12.89114, -13.859863, -13.150807
1431785087.219000, /muse/elements/low_freqs_absolute, 0.79401594, 0.59290797, 0.5150748, 0.9034922
1431785087.219000, /muse/elements/alpha_absolute, 0.3511323, 0.0741622, 0.2477859, 0.17757504
1431785087.220000, /muse/elements/beta_absolute, 1.0512676, -0.16849525, 0.12532593, 1.0491703
1431785087.220000, /muse/elements/delta_absolute, 0.44442114, 0.43519, 0.19632596, 0.6006524
