1431785116.607000, /muse/acc, 0.0, 1000.0016, 144.53148
1431785116.631000, /muse/eeg, 845.5199, 817.55524, 838.94, 850.45483
1431785116.631000, /muse/eeg/quantization, 1, 1, 1, 1
1431785116.631000, /muse/eeg, 861.9697, 819.2002, 850.45483, 840.58496
1431785116.631000, /muse/eeg, 842.2299, 820.8452, 843.87494, 855.3898
1431785116.631000, /muse/eeg, 832.36005, 825.78015, 848.8099, 850.45483
1431785116.631000, /muse/eeg, 866.90466, 830.7151, 852.0998, 847.16486
1431785116.631000, /muse/eeg, 860.3247, 817.55524, 848.8099, 853.7448
1431785116.631000, /muse/eeg, 861.9697, 830.7151, 850.45483, 843.87494
1431785116.632000, /muse/eeg, 855.3898, 822.4902, 861.9697, 829.07007
1431785116.632000, /muse/eeg, 850.45483, 815.9103, 858.67975, 835.65
1431785116.632000, /muse/eeg, 848.8099, 822.4902, 861.9697, 835.65
1431785116.632000, /muse/eeg, 860.3247, 824.13513, 857.0347, 850.45483
1431785116.632000, /muse/eeg, 848.8099, 822.4902, 847.16486, 843.87494
1431785116.632000, /muse/eeg, 840.58496, 820.8452, 843.87494, 840.58496
1431785116.632000, /muse/eeg, 850.45483, 814.26526, 837.295, 847.16486
1431785116.632000, /muse/eeg, 842.2299, 824.13513, 850.45483, 840.58496
1431785116.632000, /muse/elements/alpha_relative, 0.20936294, 0.13574362, 0.37445116, 0.15052424
1431785116.632000, /muse/elements/beta_relative, 0.21020587, 0.071611695, 0.16293553, 0.26285043
1431785116.632000, /muse/elements/delta_relative, 0.3130025, 0.44128188, 0.1960841, 0.11477507
1431785116.632000, /muse/elements/gamma_relative, 0.171158, 0.06418798, 0.16938314, 0.26191008
1431785116.632000, /muse/elements/theta_relative, 0.0962707, 0.28717482, 0.09714607, 0.20994017
1431785116.632000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785116.632000, /muse/elements/is_good, 1, 1, 1, 1
1431785116.632000, /muse/elements/blink, 0
1431785116.632000, /muse/elements/jaw_clench, 0
1431785116.632000, /muse/elements/touching_forehead, 1
1431785116.632000, /muse/elements/experimental/concentration, 0.40245873
1431785116.632000, /muse/elements/experimental/mellow, 0.1783377
