1431785129.779000, /muse/acc, 39.06256, 996.09534, 152.344
1431785129.779000, /muse/drlref, 1651612.9, 1654838.8
1431785129.810000, /muse/acc, 39.06256, 996.09534, 152.344
1431785129.810000, /muse/eeg, 853.7448, 814.26526, 848.8099, 847.16486
1431785129.811000, /muse/eeg/quantization, 1, 1, 1, 1
1431785129.811000, /muse/eeg, 866.90466, 810.9753, 842.2299, 868.5496
1431785129.811000, /muse/eeg, 861.9697, 814.26526, 853.7448, 847.16486
1431785129.811000, /muse/eeg, 858.67975, 819.2002, 842.2299, 820.8452
1431785129.811000, /muse/eeg, 842.2299, 817.55524, 837.295, 845.5199
1431785129.811000, /muse/eeg, 853.7448, 820.8452, 847.16486, 843.87494
1431785129.811000, /muse/eeg, 857.0347, 822.4902, 855.3898, 830.7151
1431785129.811000, /muse/eeg, 853.7448, 822.4902, 847.16486, 848.8099
1431785129.811000, /muse/eeg, 875.1295, 824.13513, 857.0347, 861.9697
1431785129.811000, /muse/eeg, 866.90466, 824.13513, 858.67975, 837.295
1431785129.811000, /muse/eeg, 870.1946, 822.4902, 848.8099, 843.87494
1431785129.811000, /muse/eeg, 863.6147, 820.8452, 857.0347, 855.3898
1431785129.811000, /muse/eeg, 857.0347, 817.55524, 857.0347, 837.295
1431785129.811000, /muse/eeg, 865.25964, 814.26526, 863.6147, 850.45483
1431785129.811000, /muse/eeg, 894.8693, 815.9103, 860.3247, 850.45483
1431785129.811000, /muse/eeg, 881.7095, 815.9103, 873.48456, 848.8099
1431785129.811000, /muse/eeg, 866.90466, 814.26526, 868.5496, 858.67975
1431785129.811000, /muse/elements/alpha_relative, 0.15325932, 0.18746567, 0.17860734, 0.24872002
1431785129.811000, /muse/elements/beta_relative, 0.41309378, 0.11319489, 0.15163104, 0.28095415
1431785129.811000, /muse/elements/delta_relative, 0.20266896, 0.46772704, 0.28531563, 0.10975865
1431785129.811000, /muse/elements/gamma_relative, 0.13769983, 0.03449401, 0.1294566, 0.25273937
1431785129.811000, /muse/elements/theta_relative, 0.09327812, 0.1971184, 0.2549894, 0.10782781
1431785129.811000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785129.811000, /muse/elements/is_good, 1, 1, 1, 1
1431785129.811000, /muse/elements/blink, 0
1431785129.811000, /muse/elements/jaw_clench, 0
1431785129.811000, /muse/elements/touching_forehead, 1
1431785129.811000, /muse/elements/experimental/concentration, 0.0
1431785129.811000, /muse/elements/experimental/mellow, 0.21252285
1431785129.812000, /muse/elements/raw_fft0, -5.6422377, -2.1890855, -3.2353837, 1.582186, 1.8168862, -5.043411, -6.3302727, -3.1718588, -7.0808325, -15.541612, -12.1383705, -8.725051, -7.1384583, -3.1393604, -5.062548, -6.2707148, -3.558178, -9.711043, -11.764902, -6.5173264, -0.9006754, -2.7225647, -8.304699, -12.197799, -13.0991745, -12.124237, -6.2470627, -1.4353721, -1.6541169, -5.716321, -1.5229028, -2.9263976, -8.376564, -6.206241, -5.7265944, -6.0267916, -10.434668, -8.219536, -9.10934, -8.354783, -9.500727, -4.8201075, -9.375343, -7.231456, -7.3972707, -7.0595994, -7.805865, -9.052585, -9.941334, -8.964935, -15.599096, -14.728874, -10.023573, -15.105748, -13.054642, -16.367918, -14.190705, -19.873154, -25.41465, -20.81871, -17.65005, -15.067068, -11.019584, -14.95514, -8.196484, -9.596058, -6.6936326, -11.789582, -16.85415, -15.308771, -10.584097, -7.851859, -11.577165, -13.319733, -10.004774, -7.42345, -8.116687, -13.008882, -11.232842, -8.497563, -2.4457188, -3.6068993, -9.359304, -13.694618, -8.326815, -10.911389, -13.757416, -9.901981, -13.335463, -10.339598, -11.776136, -12.36908, -16.760172, -14.833433, -10.458697, -7.3131466, -6.9368277, -12.6881, -8.270724, -6.12818, -4.2512226, -6.458117, -5.07059, -8.514809, -9.761394, -5.9681563, -10.739517, -17.266031, -10.659275, -6.097542, -9.048797, -10.14724, -11.784098, -12.14261, -11.530903, -12.681397, -5.4373107, -7.924554, -11.481982, -11.503141, -17.565575, -14.013227, -14.4426155, -18.453712, -16.293844, -11.249136, -14.118775, -14.19222, -14.508251
