1431785136.135000, /muse/acc, 42.96882, 1000.0016, 156.25024
1431785136.155000, /muse/acc, 42.96882, 996.09534, 156.25024
1431785136.155000, /muse/drlref, 1648387.1, 1654838.8
1431785136.182000, /muse/acc, 42.96882, 996.09534, 156.25024
1431785136.182000, /muse/eeg, 796.1705, 830.7151, 847.16486, 794.5255
1431785136.182000, /muse/eeg/quantization, 1, 1, 1, 1
1431785136.182000, /muse/eeg, 786.3006, 829.07007, 858.67975, 771.4958
1431785136.182000, /muse/eeg, 761.6259, 832.36005, 843.87494, 758.33594
1431785136.182000, /muse/eeg, 741.8861, 832.36005, 850.45483, 746.8211
1431785136.182000, /muse/eeg, 728.7263, 832.36005, 848.8099, 735.3062
1431785136.182000, /muse/eeg, 718.8564, 835.65, 842.2299, 704.0516
1431785136.182000, /muse/eeg, 704.0516, 830.7151, 842.2299, 720.5014
1431785136.182000, /muse/eeg, 725.43634, 834.005, 848.8099, 700.7616
1431785136.182000, /muse/eeg, 720.5014, 835.65, 848.8099, 697.4717
1431785136.182000, /muse/eeg, 736.9512, 824.13513, 847.16486, 732.01624
1431785136.182000, /muse/eeg, 735.3062, 825.78015, 835.65, 748.46606
1431785136.182000, /muse/eeg, 753.401, 829.07007, 829.07007, 748.46606
1431785136.182000, /muse/eeg, 751.75604, 817.55524, 840.58496, 756.691
1431785136.182000, /muse/eeg, 769.8508, 819.2002, 829.07007, 781.36566
1431785136.182000, /muse/eeg, 799.46045, 819.2002, 832.36005, 799.46045
1431785136.182000, /muse/eeg, 824.13513, 814.26526, 840.58496, 799.46045
1431785136.182000, /muse/acc, 42.96882, 996.09534, 152.344
1431785136.195000, /muse/acc, 42.96882, 996.09534, 156.25024
1431785136.215000, /muse/acc, 42.96882, 996.09534, 156.25024
1431785136.218000, /muse/config, '{"drlref_conversion_factor": 3225.806396484375, "acc_sample_frequency_hz": 50, "battery_percent_remaining": 83, "eeg_downsample": 16, "notch_frequency_hz": 50, "eeg_locations": [45, 2, 4, 55], "eeg_units": 2, "eeg_output_frequency_hz": 220, "eeg_conversion_factor": 1.6449803113937378, "eeg_channel_layout": "TP9 FP1 FP2 TP10 ", "acc_data_enabled": true, "eeg_sample_frequency_hz": 3520, "mac_addr": "0006666C1E7D", "preset": "14", "drlref_sample_frequency_hz": 10, "serial_number": "1150-QMN8-1E7D", "filters_enabled": true, "battery_millivolts": 3977, "acc_units": 2, "battery_data_enabled": true, "afe_gain": 1961.0, "compression_enabled": true, "eeg_channel_count": 4, "error_data_enabled": true, "acc_conversion_factor": 3.9062561988830566, "eeg_samples_bitwidth": 10, "drlref_data_enabled": true}'
1431785136.218000, /muse/version, '{"build_number": "45", "firmware_type": "Research", "hardware_version": "15.0.0", "firmware_headset_version": "", "protocol_version": "2", "firmware_bootloader_version": "7.6.0"}'
1431785136.244000, /muse/eeg, 806.040344238, 814.265258789, 842.229919434, 809.330322266
1431785136.244000, /muse/eeg/quantization, 1, 1, 1, 1
1431785136.244000, /muse/eeg, 825.780151367, 815.91027832, 829.070068359, 827.425109863
1431785136.244000, /muse/eeg, 837.29498291, 814.265258789, 842.229919434, 825.780151367
1431785136.244000, /muse/eeg, 829.070068359, 812.620300293, 838.940002441, 825.780151367
1431785136.244000, /muse/eeg, 838.940002441, 814.265258789, 827.425109863, 843.874938965
