1431785150.685000, /muse/acc, 35.156303, 996.09534, 152.344
1431785150.715000, /muse/acc, 35.156303, 1000.0016, 152.344
1431785150.725000, /muse/acc, 35.156303, 1000.0016, 152.344
1431785150.750000, /muse/eeg, 852.0998, 812.6203, 843.87494, 837.295
1431785150.750000, /muse/eeg/quantization, 1, 1, 1, 1
1431785150.750000, /muse/eeg, 843.87494, 812.6203, 850.45483, 834.005
1431785150.750000, /muse/eeg, 838.94, 812.6203, 837.295, 835.65
1431785150.750000, /muse/elements/alpha_relative, 0.4008649, 0.20896731, 0.2061234, 0.18914473
1431785150.750000, /muse/elements/beta_relative, 0.16726366, 0.10954058, 0.17585361, 0.23175453
1431785150.750000, /muse/elements/delta_relative, 0.19333436, 0.40082893, 0.27587527, 0.08078478
1431785150.750000, /muse/elements/gamma_relative, 0.12229815, 0.032981668, 0.13932784, 0.3802434
1431785150.750000, /muse/elements/theta_relative, 0.11623895, 0.24768151, 0.20281988, 0.118072584
1431785150.750000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785150.750000, /muse/elements/is_good, 1, 1, 1, 1
1431785150.750000, /muse/elements/blink, 0
1431785150.750000, /muse/elements/jaw_clench, 0
1431785150.750000, /muse/elements/touching_forehead, 1
1431785150.750000, /muse/elements/experimental/concentration, 0.0
1431785150.750000, /muse/elements/experimental/mellow, 0.28007564
