1431785188.643000, /muse/acc, 58.59384, 996.09534, 152.344
1431785188.669000, /muse/acc, 62.5001, 1000.0016, 156.25024
1431785188.669000, /muse/eeg, 858.67975, 810.9753, 850.45483, 840.58496
1431785188.669000, /muse/eeg/quantization, 1, 1, 1, 1
1431785188.669000, /muse/eeg, 861.9697, 815.9103, 852.0998, 848.8099
1431785188.669000, /muse/eeg, 860.3247, 817.55524, 863.6147, 852.0998
1431785188.669000, /muse/eeg, 863.6147, 817.55524, 858.67975, 865.25964
1431785188.669000, /muse/eeg, 876.77454, 820.8452, 857.0347, 863.6147
1431785188.669000, /muse/eeg, 870.1946, 822.4902, 858.67975, 852.0998
1431785188.669000, /muse/eeg, 847.16486, 819.2002, 871.8396, 848.8099
1431785188.669000, /muse/eeg, 863.6147, 822.4902, 860.3247, 853.7448
1431785188.669000, /muse/eeg, 863.6147, 824.13513, 875.1295, 853.7448
1431785188.669000, /muse/eeg, 868.5496, 824.13513, 866.90466, 853.7448
1431785188.669000, /muse/elements/alpha_relative, 0.2208829, 0.29715842, 0.14532933, 0.2469081
1431785188.669000, /muse/elements/beta_relative, 0.39093244, 0.07371038, 0.26839182, 0.17557292
1431785188.669000, /muse/elements/delta_relative, 0.08319464, 0.40280393, 0.25819302, 0.25820398
1431785188.670000, /muse/elements/gamma_relative, 0.21850763, 0.03655859, 0.20637418, 0.21557513
1431785188.670000, /muse/elements/theta_relative, 0.0864824, 0.18976869, 0.12171165, 0.103739865
1431785188.670000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785188.670000, /muse/elements/is_good, 1, 1, 1, 1
1431785188.670000, /muse/elements/blink, 0
1431785188.670000, /muse/elements/jaw_clench, 0
1431785188.670000, /muse/elements/touching_forehead, 1
1431785188.670000, /muse/elements/experimental/concentration, 0.27468285
1431785188.670000, /muse/elements/experimental/mellow, 0.9554102
1431785188.670000, /muse/elements/raw_fft0, 2.485484, 5.365911, 4.3549776, -4.254591, -3.5999603, -3.9958668, -6.2771125, -6.341321, -8.304955, -3.6217618, 0.417585, -2.7126176, -8.572724, -6.6553626, -3.6662035, -7.227534, 0.55658865, -0.06766168, -10.772457, -12.077262, -12.667332, -3.2900078, -2.5082693, -6.378833, -6.5346875, -7.9599156, -13.416414, -10.743722, -8.645461, -3.9656584, -4.1013837, -4.9833164, -7.3840027, -6.2961807, -9.144585, -5.711623, -2.5782945, -4.974181, -10.47151, -10.318994, -7.8266287, -5.2430825, -5.443434, -6.6207967, -7.4507823, -6.982771, -11.75874, -7.981182, -5.75474, -8.946293, -8.806906, -12.671881, -10.6848755, -12.255024, -13.862902, -11.203826, -12.113089, -20.535238, -28.2401, -22.554379, -23.391449, -20.342478, -16.104626, -10.3002, -8.030665, -6.240783, -6.7006593, -9.991382, -9.598264, -6.646749, -4.934171, -1.6525571, -2.8252597, -6.5102835, -1.8880402, -4.690595, -7.927951, -8.289128, -7.4700403, -10.683086, -8.1311, -6.147529, -9.868566, -9.315172, -10.447362, -15.78696, -11.475343, -9.435229, -11.947469, -4.9775677, -3.8601408, -8.465671, -6.7813416, -6.0016313, -8.709692, -10.428012, -8.234843, -8.879218, -8.208674, -10.274258, -12.221936, -11.831168, -15.995684, -11.42911, -8.662251, -10.130664, -10.927698, -10.297052, -9.52475, -9.636032, -10.58479, -9.1259, -13.653867, -13.654813, -15.581781, -15.556561, -8.13947, -8.858156, -12.79768, -16.071257, -14.80843, -20.616428, -15.643392, -17.121277, -21.516605, -20.463085, -24.39218, -18.928385, -18.342253
1431785188.671000, /muse/elements/raw_fft1, -7.6610694, 0.30057314, 4.179419, 1.6308084, -6.948294, -5.7213964, -5.7713437, -4.5332966, -11.148015, -8.136464, -4.8405776, -5.454567, -5.325448, -10.3600445, -9.710187, -9.250265, -9.982754, -12.101805, -20.672739, -19.60119, -16.481695, -15.0403, -15.882168, -11.808672, -14.881841, -17.992605, -21.34358, -17.662683, -14.4678955, -15.858983, -21.182413, -17.146416, -16.391872, -18.173717, -19.362, -21.552736, -19.545073, -17.231312, -18.673243, -15.17366, -19.003819, -16.025055, -15.960142, -15.131612, -14.870147, -14.747674, -16.696198, -19.505545, -18.982712, -17.157776, -21.823912, -21.239307, -18.939228, -23.904303, -25.174307, -24.983181, -23.798283, -28.236122, -31.511002, -28.50259, -24.545626, -27.765728, -25.845222, -28.182583, -26.572105, -24.348358, -25.62091, -22.853231, -21.600721, -21.732168, -19.292072, -18.168308, -19.166471, -20.63202, -18.531898, -22.737486, -20.94556, -21.52308, -24.879732, -22.94623, -21.501593, -16.929644, -22.37824, -23.035446, -20.001255, -17.953863, -22.516445, -23.321508, -23.979343, -23.06386, -20.124456, -21.881197, -22.684895, -19.092405, -21.97899, -25.932297, -24.7064, -27.960917, -27.759367, -23.535683, -21.528889, -22.219685, -27.67741, -23.878773, -23.172232, -24.246866, -25.597204, -23.675375, -25.938066, -26.67296, -25.186762, -24.93327, -24.319656, -22.42069, -21.129305, -22.193888, -20.885576, -22.213346, -24.420332, -25.4202, -23.020472, -30.682684, -35.685863, -36.471066, -35.971046, -42.506275, -34.24715, -31.179846, -37.721237
