1431785102.945000, /muse/acc, -7.8125124, 1000.0016, 140.62521
1431785102.945000, /muse/eeg, 835.65, 817.55524, 852.0998, 829.07007
1431785102.945000, /muse/eeg/quantization, 1, 1, 1, 1
1431785102.945000, /muse/eeg, 832.36005, 817.55524, 837.295, 843.87494
1431785102.945000, /muse/eeg, 847.16486, 815.9103, 838.94, 843.87494
1431785102.945000, /muse/eeg, 829.07007, 817.55524, 832.36005, 847.16486
1431785102.945000, /muse/eeg, 847.16486, 819.2002, 830.7151, 861.9697
1431785102.945000, /muse/eeg, 858.67975, 819.2002, 830.7151, 835.65
1431785102.945000, /muse/eeg, 843.87494, 819.2002, 835.65, 840.58496
1431785102.946000, /muse/eeg, 850.45483, 817.55524, 848.8099, 829.07007
1431785102.946000, /muse/eeg, 860.3247, 817.55524, 842.2299, 825.78015
1431785102.946000, /muse/eeg, 853.7448, 817.55524, 838.94, 858.67975
1431785102.946000, /muse/eeg, 842.2299, 815.9103, 830.7151, 845.5199
1431785102.946000, /muse/eeg, 865.25964, 817.55524, 834.005, 850.45483
1431785102.946000, /muse/eeg, 857.0347, 815.9103, 834.005, 852.0998
1431785102.946000, /muse/eeg, 838.94, 815.9103, 843.87494, 835.65
1431785102.946000, /muse/eeg, 857.0347, 815.9103, 850.45483, 845.5199
1431785102.946000, /muse/eeg, 848.8099, 817.55524, 840.58496, 855.3898
1431785102.946000, /muse/elements/alpha_relative, 0.21942677, 0.24482709, 0.14529295, 0.1543912
1431785102.946000, /muse/elements/beta_relative, 0.19883114, 0.0663758, 0.1258173, 0.29533547
1431785102.946000, /muse/elements/delta_relative, 0.35186824, 0.35851783, 0.49214965, 0.23176807
1431785102.946000, /muse/elements/gamma_relative, 0.18928917, 0.024846045, 0.077115044, 0.238749
1431785102.946000, /muse/elements/theta_relative, 0.040584687, 0.30543324, 0.15962507, 0.079756275
1431785102.946000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785102.946000, /muse/elements/is_good, 1, 1, 1, 1
1431785102.946000, /muse/elements/blink, 0
1431785102.946000, /muse/elements/jaw_clench, 0
1431785102.946000, /muse/elements/touching_forehead, 1
1431785102.946000, /muse/elements/experimental/concentration, 0.0
1431785102.946000, /muse/elements/experimental/mellow, 0.33659595
1431785102.947000, /muse/elements/raw_fft0, 8.790104, 11.752909, 10.354902, 11.701505, 7.9864144, 6.340883, 4.266042, 3.0162451, -0.97446287, -2.5729246, -6.0949893, 0.9432092, 0.6490114, 1.435362, -1.6879178, -3.310592, -5.3697195, -7.262281, -5.4436536, -8.513498, -4.557716, -4.4012094, -12.137974, -14.818709, -9.119383, -4.5048532, -4.439704, -7.24948, -1.8541802, -8.116382, -8.21966, -11.848701, -12.91644, -2.473652, -3.3266103, -8.998173, -6.4456973, -4.5704517, -4.9112945, -9.865422, -13.504987, -13.161748, -7.986114, -8.206325, -12.069928, -10.768086, -10.639019, -10.736839, -7.7903085, -3.7982895, -5.5540423, -8.040384, -11.3829155, -9.713591, -11.2531395, -15.868404, -16.016073, -20.816341, -27.460653, -22.150198, -15.0071, -16.579737, -18.65329, -13.891899, -11.010209, -9.324718, -6.080859, -7.4011545, -10.075707, -12.0146675, -17.288776, -9.488349, -4.9591656, -6.3116827, -3.0774248, -5.0082955, -7.231253, -5.756451, -6.6059475, -6.427421, -7.6531243, -5.112217, -11.8070545, -10.605346, -4.9123564, -4.3468213, -9.018404, -9.64211, -8.024906, -9.852852, -8.528848, -6.567683, -6.110649, -7.7622876, -7.5389986, -6.477563, -7.508012, -4.996729, -4.5458035, -3.418651, -6.456864, -11.052067, -14.0785475, -10.203429, -8.804449, -12.8224125, -12.873631, -11.309356, -10.444722, -10.527623, -8.142522, -5.307455, -5.5594277, -8.49738, -14.6101675, -12.995742, -2.7316492, -5.028331, -10.284402, -7.6724205, -10.493244, -10.793041, -14.574525, -14.876122, -9.980492, -11.848719, -11.829154, -12.039661, -16.48802
