1431785122.903000, /muse/acc, 35.156303, 1000.0016, 160.1565
1431785122.954000, /muse/acc, 35.156303, 996.09534, 160.1565
1431785122.954000, /muse/eeg, 845.5199, 812.6203, 834.005, 860.3247
1431785122.954000, /muse/eeg/quantization, 1, 1, 1, 1
1431785122.954000, /muse/eeg, 842.2299, 812.6203, 845.5199, 834.005
1431785122.954000, /muse/eeg, 834.005, 814.26526, 843.87494, 843.87494
1431785122.954000, /muse/eeg, 847.16486, 817.55524, 842.2299, 866.90466
1431785122.954000, /muse/eeg, 842.2299, 819.2002, 842.2299, 852.0998
1431785122.954000, /muse/eeg, 832.36005, 815.9103, 835.65, 855.3898
1431785122.954000, /muse/eeg, 850.45483, 814.26526, 845.5199, 853.7448
1431785122.954000, /muse/eeg, 855.3898, 817.55524, 842.2299, 860.3247
1431785122.954000, /muse/eeg, 843.87494, 814.26526, 847.16486, 845.5199
1431785122.954000, /muse/eeg, 847.16486, 809.3303, 850.45483, 837.295
1431785122.954000, /muse/eeg, 858.67975, 812.6203, 829.07007, 850.45483
1431785122.954000, /muse/eeg, 845.5199, 810.9753, 837.295, 842.2299
1431785122.954000, /muse/eeg, 847.16486, 810.9753, 834.005, 845.5199
1431785122.954000, /muse/eeg, 853.7448, 812.6203, 840.58496, 858.67975
1431785122.954000, /muse/elements/alpha_relative, 0.17885228, 0.22616217, 0.19521578, 0.115646146
1431785122.954000, /muse/elements/beta_relative, 0.20343164, 0.15770191, 0.17253514, 0.3903365
1431785122.955000, /muse/elements/delta_relative, 0.23993096, 0.3070646, 0.3290686, 0.10096513
1431785122.955000, /muse/elements/gamma_relative, 0.2947547, 0.051849328, 0.10398224, 0.2338106
1431785122.955000, /muse/elements/theta_relative, 0.08303041, 0.257222, 0.19919823, 0.15924162
1431785122.955000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785122.955000, /muse/elements/is_good, 0, 1, 1, 0
1431785122.955000, /muse/elements/blink, 0
1431785122.955000, /muse/elements/jaw_clench, 0
1431785122.955000, /muse/elements/touching_forehead, 1
1431785122.955000, /muse/elements/experimental/concentration, 0.19759811
1431785122.955000, /muse/elements/experimental/mellow, 0.0
