1431785142.844000, /muse/acc, 42.96882, 1000.0016, 152.344
1431785142.844000, /muse/eeg, 865.25964, 814.26526, 837.295, 852.0998
1431785142.844000, /muse/eeg/quantization, 1, 1, 1, 1
1431785142.844000, /muse/eeg, 847.16486, 812.6203, 847.16486, 843.87494
1431785142.844000, /muse/eeg, 855.3898, 814.26526, 842.2299, 845.5199
1431785142.844000, /muse/eeg, 870.1946, 812.6203, 837.295, 834.005
1431785142.844000, /muse/eeg, 863.6147, 815.9103, 840.58496, 843.87494
1431785142.844000, /muse/eeg, 861.9697, 820.8452, 840.58496, 840.58496
1431785142.844000, /muse/elements/alpha_relative, 0.14900719, 0.5041955, 0.23855118, 0.15864384
1431785142.844000, /muse/elements/beta_relative, 0.35983968, 0.13176885, 0.1496674, 0.36519748
1431785142.844000, /muse/elements/delta_relative, 0.10677715, 0.1645061, 0.18217273, 0.1411628
1431785142.844000, /muse/elements/gamma_relative, 0.22325027, 0.024623176, 0.16095819, 0.21137325
1431785142.844000, /muse/elements/theta_relative, 0.16112572, 0.17490637, 0.26865047, 0.123622626
1431785142.844000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785142.844000, /muse/elements/is_good, 0, 1, 1, 0
1431785142.844000, /muse/elements/blink, 0
1431785142.844000, /muse/elements/jaw_clench, 0
1431785142.845000, /muse/elements/touching_forehead, 1
1431785142.845000, /muse/elements/experimental/concentration, 0.0
1431785142.845000, /muse/elements/experimental/mellow, 0.0
1431785142.845000, /muse/elements/raw_fft0, 7.7969246, 13.657385, 14.679465, 13.996051, 15.014986, 14.798168, 13.012707, 9.892696, 7.1048203, 6.0795317, 6.3512096, 3.2936833, 2.6906948, -0.5022776, -2.6189656, -1.8561705, -3.2942657, -5.008384, -7.1281915, -8.47513, -4.31736, -10.130901, -14.291944, -7.336373, -3.9748468, -3.9879892, -4.8657985, -3.9141278, -6.9454103, -11.6441965, -6.0015264, -8.426466, -9.683385, -5.5975013, -8.79652, -9.336652, -9.808275, -6.995419, -9.618847, -5.874458, -4.4570103, -7.014044, -4.2338696, -5.407206, -6.528398, -13.490577, -13.3496895, -14.177941, -8.807525, -6.74871, -13.1493, -9.163954, -9.682946, -11.299785, -16.05487, -16.086235, -15.486137, -20.3862, -28.531351, -21.239391, -16.136341, -11.752325, -12.308386, -10.077107, -9.9238615, -11.876325, -10.929809, -7.868157, -9.07228, -11.210428, -4.074898, -6.756187, -11.332405, -11.251198, -8.503223, -11.832897, -7.3323236, -6.031098, -5.5690165, -4.2243795, -4.7368746, -8.165752, -9.027827, -6.3521256, -9.97129, -15.041644, -12.778901, -10.892558, -11.767064, -5.9891214, -5.0554113, -7.0978603, -6.2025805, -4.3381653, -8.223952, -8.928198, -11.796033, -12.067994, -8.111512, -10.830701, -9.885526, -13.096212, -15.395386, -9.610612, -8.18825, -8.568786, -9.519815, -9.506752, -11.131148, -12.673852, -16.264814, -13.746185, -11.60626, -11.933367, -7.813104, -13.675462, -4.611439, -7.124401, -14.149288, -14.651928, -14.468038, -13.279734, -8.788918, -13.012083, -22.261084, -18.68144, -10.960963, -11.644461, -19.17128
