1431785177.369000, /muse/acc, 58.59384, 996.09534, 152.344
1431785177.369000, /muse/drlref, 1651612.9, 1654838.8
1431785177.396000, /muse/acc, 62.5001, 996.09534, 152.344
1431785177.396000, /muse/eeg, 870.1946, 825.78015, 850.45483, 850.45483
1431785177.396000, /muse/eeg/quantization, 1, 1, 1, 1
1431785177.396000, /muse/eeg, 880.06445, 829.07007, 840.58496, 865.25964
1431785177.396000, /muse/eeg, 871.8396, 830.7151, 857.0347, 863.6147
1431785177.396000, /muse/eeg, 870.1946, 829.07007, 848.8099, 868.5496
1431785177.396000, /muse/eeg, 865.25964, 829.07007, 842.2299, 853.7448
1431785177.396000, /muse/eeg, 876.77454, 825.78015, 850.45483, 865.25964
1431785177.396000, /muse/eeg, 876.77454, 827.4251, 861.9697, 857.0347
1431785177.397000, /muse/elements/alpha_relative, 0.17649576, 0.22623447, 0.20265926, 0.15086734
1431785177.397000, /muse/elements/beta_relative, 0.26414615, 0.13605914, 0.14196336, 0.27212197
1431785177.397000, /muse/elements/delta_relative, 0.086772874, 0.27098173, 0.2733088, 0.093727544
1431785177.397000, /muse/elements/gamma_relative, 0.335575, 0.040196095, 0.12967493, 0.4134893
1431785177.397000, /muse/elements/theta_relative, 0.1370102, 0.3265286, 0.25239363, 0.06979385
1431785177.397000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785177.397000, /muse/elements/is_good, 1, 1, 1, 1
1431785177.397000, /muse/elements/blink, 0
1431785177.397000, /muse/elements/jaw_clench, 0
1431785177.397000, /muse/elements/touching_forehead, 1
1431785177.397000, /muse/elements/experimental/concentration, 0.58998835
1431785177.397000, /muse/elements/experimental/mellow, 0.5019735
